trip_id,datetime,date,month,hour,neighborhood,car_type,trip_type,distance_km,fare_usd,driver_rating,completed
T00688,2024-02-10 01:06,2024-02-10,2,1,Little Havana,Sedan,airport,4.9,53.98,5,0
T00689,2024-04-14 22:35,2024-04-14,4,22,Aventura,SUV,errand,3.0,41.25,4,1
T00690,2024-03-17 07:06,2024-03-17,3,7,South Beach,Sedan,event,2.5,37.93,5,1
T00691,2024-05-05 04:03,2024-05-05,5,4,Little Havana,SUV,nightlife,16.3,41.64,5,1
T00692,2024-03-16 21:40,2024-03-16,3,21,Doral,Luxury,event,3.0,34.47,5,1
T00693,2024-01-07 06:10,2024-01-07,1,6,Coconut Grove,Sedan,nightlife,5.1,23.45,5,1
T00694,2024-01-30 09:50,2024-01-30,1,9,Midtown,SUV,event,15.0,40.12,5,1
T00695,2024-06-18 08:05,2024-06-18,6,8,Aventura,SUV,event,18.9,36.22,5,1
T00696,2024-04-07 11:11,2024-04-07,4,11,Downtown,SUV,nightlife,5.8,22.28,4,1
T00697,2024-04-29 08:14,2024-04-29,4,8,Coconut Grove,Luxury,long_distance,4.6,31.96,4,1
T00698,2024-06-27 21:06,2024-06-27,6,21,Brickell,Convertible,wedding,16.8,40.27,4,1
T00699,2024-05-18 13:48,2024-05-18,5,13,Doral,Luxury,airport,2.7,52.44,4,1
T00700,2024-04-09 16:26,2024-04-09,4,16,Aventura,SUV,wedding,1.6,67.29,5,1
T00701,2024-05-01 18:56,2024-05-01,5,18,Coral Gables,SUV,event,12.0,32.96,5,1
T00702,2024-04-11 22:02,2024-04-11,4,22,Aventura,SUV,long_distance,3.4,33.13,5,1
T00703,2024-05-26 21:39,2024-05-26,5,21,Wynwood,Luxury,nightlife,5.8,24.21,5,0
T00704,2024-04-24 05:10,2024-04-24,4,5,Coral Gables,SUV,airport,6.3,35.26,4,1
T00705,2024-04-18 02:43,2024-04-18,4,2,Midtown,SUV,airport,5.1,39.29,4,0
T00706,2024-06-09 04:53,2024-06-09,6,4,Doral,SUV,errand,8.2,42.14,5,1
T00707,2024-01-18 02:24,2024-01-18,1,2,Aventura,SUV,event,6.9,35.31,4,1
T00708,2024-03-11 16:29,2024-03-11,3,16,South Beach,Sedan,wedding,21.2,23.51,5,1
T00709,2024-05-13 13:07,2024-05-13,5,13,Midtown,SUV,airport,9.5,38.4,4,1
T00710,2024-05-30 18:48,2024-05-30,5,18,Brickell,Sedan,nightlife,2.3,41.49,4,1
T00711,2024-01-26 09:55,2024-01-26,1,9,Aventura,Luxury,errand,3.5,65.29,4,1
T00712,2024-03-08 12:41,2024-03-08,3,12,Downtown,Minivan,long_distance,11.4,26.1,5,1
T00713,2024-01-10 05:17,2024-01-10,1,5,Midtown,Sedan,airport,34.9,8.53,4,1
T00714,2024-06-23 22:25,2024-06-23,6,22,South Beach,SUV,event,2.4,51.49,4,1
T00715,2024-03-25 22:15,2024-03-25,3,22,South Beach,Luxury,wedding,13.5,48.78,5,1
T00716,2024-03-09 11:01,2024-03-09,3,11,Little Havana,Minivan,errand,2.2,58.77,4,1
T00717,2024-05-05 22:43,2024-05-05,5,22,Brickell,Convertible,airport,5.4,30.54,5,1
T00718,2024-04-23 10:17,2024-04-23,4,10,Midtown,Sedan,long_distance,3.7,53.56,4,1
T00719,2024-02-18 14:13,2024-02-18,2,14,Midtown,Sedan,wedding,1.7,20.74,4,1
T00720,2024-05-12 11:52,2024-05-12,5,11,South Beach,Sedan,long_distance,10.6,25.03,4,1
T00721,2024-01-17 09:45,2024-01-17,1,9,Aventura,Sedan,event,14.0,43.25,4,1
T00722,2024-05-14 18:01,2024-05-14,5,18,Wynwood,SUV,airport,4.5,41.48,5,1
T00723,2024-02-21 01:15,2024-02-21,2,1,South Beach,Luxury,event,5.6,32.49,4,1
T00724,2024-04-02 22:12,2024-04-02,4,22,Coconut Grove,Luxury,errand,6.8,47.06,5,1
T00725,2024-05-09 12:40,2024-05-09,5,12,Brickell,Sedan,wedding,14.6,46.57,4,1
T00726,2024-04-05 15:38,2024-04-05,4,15,Downtown,Convertible,airport,1.9,49.23,5,0
T00727,2024-05-01 18:35,2024-05-01,5,18,Little Havana,SUV,errand,9.8,25.87,5,1
T00728,2024-03-07 23:53,2024-03-07,3,23,Brickell,Minivan,errand,10.3,36.72,4,1
T00729,2024-01-13 05:54,2024-01-13,1,5,Doral,SUV,airport,2.1,65.35,5,1
T00730,2024-06-14 07:43,2024-06-14,6,7,Coral Gables,Luxury,errand,6.8,63.96,5,1
T00731,2024-05-11 00:55,2024-05-11,5,0,South Beach,Sedan,event,18.0,28.46,4,1
T00732,2024-06-14 05:38,2024-06-14,6,5,South Beach,Convertible,airport,7.3,44.29,5,1
T00733,2024-03-19 22:45,2024-03-19,3,22,Coconut Grove,Sedan,event,14.5,32.19,3,1
T00734,2024-03-30 14:16,2024-03-30,3,14,Coral Gables,Luxury,event,2.6,41.54,5,1
T00735,2024-05-13 19:25,2024-05-13,5,19,Doral,Sedan,nightlife,5.8,64.33,5,1
T00736,2024-06-18 11:35,2024-06-18,6,11,Doral,Sedan,long_distance,11.7,35.56,5,1
T00737,2024-06-24 03:30,2024-06-24,6,3,Brickell,Sedan,errand,13.9,30.26,5,0
T00738,2024-06-12 10:55,2024-06-12,6,10,Coconut Grove,Sedan,errand,11.5,24.82,5,1
T00739,2024-06-15 09:12,2024-06-15,6,9,Wynwood,Sedan,long_distance,6.0,52.28,5,1
T00740,2024-01-15 19:25,2024-01-15,1,19,Little Havana,Luxury,wedding,2.4,29.91,5,1
T00741,2024-01-07 20:31,2024-01-07,1,20,Coconut Grove,Minivan,errand,7.3,40.32,5,1
T00742,2024-04-13 12:47,2024-04-13,4,12,South Beach,Sedan,long_distance,16.6,47.63,3,1
T00743,2024-05-26 06:21,2024-05-26,5,6,Coral Gables,SUV,wedding,16.5,30.18,4,1
T00744,2024-05-01 21:22,2024-05-01,5,21,Aventura,Sedan,errand,6.9,54.0,4,1
T00745,2024-06-17 17:11,2024-06-17,6,17,Coconut Grove,Luxury,nightlife,6.8,45.02,4,1
T00746,2024-03-07 23:51,2024-03-07,3,23,Aventura,Sedan,airport,25.4,36.29,4,0
T00747,2024-03-26 20:05,2024-03-26,3,20,Coral Gables,SUV,errand,4.4,33.75,4,1
T00748,2024-03-19 13:50,2024-03-19,3,13,Little Havana,SUV,errand,7.9,38.36,4,1
T00749,2024-03-16 14:54,2024-03-16,3,14,Brickell,Convertible,event,5.3,15.47,4,1
T00750,2024-06-11 18:37,2024-06-11,6,18,Doral,SUV,nightlife,12.9,30.27,5,1
T00751,2024-02-19 16:07,2024-02-19,2,16,Midtown,Sedan,long_distance,5.8,28.84,4,1
T00752,2024-01-14 04:08,2024-01-14,1,4,Coral Gables,SUV,errand,3.3,53.86,4,1
T00753,2024-05-25 14:09,2024-05-25,5,14,Little Havana,Minivan,wedding,5.0,44.98,4,1
T00754,2024-01-21 15:21,2024-01-21,1,15,Wynwood,Minivan,errand,2.6,53.89,4,1
T00755,2024-01-02 14:17,2024-01-02,1,14,Coral Gables,Sedan,airport,3.2,24.06,5,1
T00756,2024-02-10 15:50,2024-02-10,2,15,Brickell,SUV,airport,4.0,37.61,5,1
T00757,2024-06-11 13:25,2024-06-11,6,13,Midtown,Convertible,event,4.0,55.39,4,1
T00758,2024-01-10 17:12,2024-01-10,1,17,Little Havana,Sedan,nightlife,1.5,41.74,5,1
T00759,2024-05-15 06:01,2024-05-15,5,6,South Beach,Sedan,wedding,2.8,57.88,4,1
T00760,2024-02-27 22:56,2024-02-27,2,22,Little Havana,Luxury,errand,7.7,22.61,4,1
T00761,2024-04-08 16:37,2024-04-08,4,16,Coconut Grove,Minivan,airport,9.6,29.42,4,1
T00762,2024-01-12 09:18,2024-01-12,1,9,Downtown,Sedan,wedding,2.4,56.84,5,1
T00763,2024-05-14 10:27,2024-05-14,5,10,Wynwood,Sedan,errand,7.2,44.72,5,0
T00764,2024-05-05 11:48,2024-05-05,5,11,Coral Gables,Minivan,airport,8.4,37.17,4,0
T00765,2024-04-13 00:14,2024-04-13,4,0,Coral Gables,Sedan,wedding,3.2,40.68,4,0
T00766,2024-02-24 23:01,2024-02-24,2,23,Doral,Luxury,long_distance,2.8,44.99,4,1
T00767,2024-04-03 22:41,2024-04-03,4,22,South Beach,Sedan,event,3.9,30.05,3,1
T00768,2024-03-06 17:39,2024-03-06,3,17,South Beach,Convertible,long_distance,2.0,36.31,4,0
T00769,2024-06-18 03:41,2024-06-18,6,3,South Beach,Luxury,nightlife,7.2,41.81,5,1
T00770,2024-04-16 14:24,2024-04-16,4,14,Brickell,Sedan,long_distance,3.3,53.65,5,1
T00771,2024-06-28 04:13,2024-06-28,6,4,South Beach,Sedan,errand,2.5,19.8,5,1
T00772,2024-01-26 21:33,2024-01-26,1,21,Coconut Grove,Sedan,long_distance,2.7,47.37,5,1
T00773,2024-02-05 13:53,2024-02-05,2,13,Brickell,SUV,long_distance,13.7,30.41,5,1
T00774,2024-01-31 09:07,2024-01-31,1,9,Brickell,Sedan,event,3.7,44.69,4,1
T00775,2024-02-21 08:53,2024-02-21,2,8,Aventura,Sedan,airport,11.2,46.0,5,1
T00776,2024-04-14 09:10,2024-04-14,4,9,South Beach,SUV,long_distance,2.3,37.91,4,1
T00777,2024-02-23 22:59,2024-02-23,2,22,Downtown,Sedan,errand,7.0,19.75,4,1
T00778,2024-01-04 21:05,2024-01-04,1,21,Brickell,Sedan,long_distance,13.4,28.4,4,1
T00779,2024-02-08 02:49,2024-02-08,2,2,Aventura,Sedan,nightlife,5.2,44.53,5,1
T00780,2024-01-26 08:41,2024-01-26,1,8,Coral Gables,Luxury,event,3.2,34.66,4,0
T00781,2024-03-16 08:29,2024-03-16,3,8,South Beach,SUV,nightlife,2.5,36.71,5,1
T00782,2024-01-11 09:23,2024-01-11,1,9,Little Havana,Minivan,event,8.0,17.67,4,1
T00783,2024-01-25 01:00,2024-01-25,1,1,Wynwood,Luxury,wedding,9.8,26.43,5,1
T00784,2024-03-25 11:57,2024-03-25,3,11,Downtown,Minivan,long_distance,21.7,44.39,5,1
T00785,2024-01-24 11:52,2024-01-24,1,11,Little Havana,Luxury,airport,12.8,29.21,4,1
T00786,2024-04-12 14:17,2024-04-12,4,14,Midtown,Luxury,wedding,11.7,44.37,4,1
T00787,2024-04-17 20:56,2024-04-17,4,20,Wynwood,Sedan,nightlife,4.8,29.71,4,1
T00788,2024-01-16 05:06,2024-01-16,1,5,Midtown,SUV,long_distance,9.2,37.04,5,1
T00789,2024-05-25 21:28,2024-05-25,5,21,Wynwood,Sedan,long_distance,2.5,45.66,4,1
T00790,2024-04-01 19:01,2024-04-01,4,19,Wynwood,Convertible,event,16.3,42.26,5,1
T00791,2024-01-29 13:28,2024-01-29,1,13,South Beach,Sedan,nightlife,4.4,40.01,4,1
T00792,2024-03-21 00:45,2024-03-21,3,0,Aventura,Minivan,wedding,2.0,55.4,5,1
T00793,2024-05-24 07:42,2024-05-24,5,7,Little Havana,SUV,long_distance,3.9,54.39,5,1
T00794,2024-06-28 19:06,2024-06-28,6,19,Midtown,Sedan,wedding,15.5,35.16,5,1
T00795,2024-05-03 11:42,2024-05-03,5,11,Midtown,Luxury,airport,3.4,44.38,5,1
T00796,2024-05-22 19:03,2024-05-22,5,19,South Beach,SUV,wedding,28.7,42.38,4,0
T00797,2024-05-09 15:54,2024-05-09,5,15,Downtown,Sedan,airport,25.7,38.18,5,1
T00798,2024-05-05 10:15,2024-05-05,5,10,Little Havana,Minivan,errand,4.9,35.29,5,1
T00799,2024-02-27 17:41,2024-02-27,2,17,Midtown,Sedan,event,13.7,35.06,4,1
T00800,2024-01-21 14:28,2024-01-21,1,14,Doral,Luxury,event,5.4,8.0,4,1
T00801,2024-05-07 14:20,2024-05-07,5,14,Brickell,Sedan,event,7.5,28.58,4,1
T00802,2024-01-05 03:25,2024-01-05,1,3,Midtown,SUV,nightlife,10.4,53.69,4,1
T00803,2024-01-01 02:50,2024-01-01,1,2,Doral,Minivan,long_distance,11.8,28.48,5,1
T00804,2024-05-10 17:13,2024-05-10,5,17,Downtown,Sedan,errand,9.2,51.65,5,1
T00805,2024-01-14 07:54,2024-01-14,1,7,Downtown,Sedan,errand,2.2,47.52,4,1
T00806,2024-06-07 19:30,2024-06-07,6,19,Little Havana,Sedan,wedding,1.8,11.15,5,1
T00807,2024-01-25 21:14,2024-01-25,1,21,South Beach,SUV,errand,3.7,61.39,4,1
T00808,2024-06-11 09:35,2024-06-11,6,9,Aventura,Sedan,errand,6.4,46.26,4,1
T00809,2024-01-12 05:31,2024-01-12,1,5,Wynwood,SUV,wedding,9.9,30.04,4,1
T00810,2024-04-14 03:16,2024-04-14,4,3,Doral,Sedan,airport,4.1,54.73,5,1
T00811,2024-04-10 06:29,2024-04-10,4,6,Coral Gables,Luxury,wedding,1.6,43.42,4,1
T00812,2024-04-16 01:59,2024-04-16,4,1,Doral,SUV,nightlife,21.8,40.26,5,1
T00813,2024-04-25 14:42,2024-04-25,4,14,Doral,SUV,long_distance,24.7,45.93,4,1
T00814,2024-05-07 00:33,2024-05-07,5,0,South Beach,SUV,long_distance,3.7,42.27,4,0
T00815,2024-05-29 15:59,2024-05-29,5,15,Aventura,SUV,airport,5.0,19.89,5,1
T00816,2024-02-14 23:52,2024-02-14,2,23,Wynwood,Luxury,nightlife,10.2,24.86,5,1
T00817,2024-06-02 19:56,2024-06-02,6,19,Little Havana,Minivan,long_distance,3.4,37.74,5,1
T00818,2024-04-17 19:58,2024-04-17,4,19,Coral Gables,SUV,errand,1.7,50.82,4,1
T00819,2024-03-28 09:28,2024-03-28,3,9,Wynwood,SUV,airport,8.0,20.64,4,1
T00820,2024-06-28 23:32,2024-06-28,6,23,Coconut Grove,SUV,wedding,2.2,51.55,5,1
T00821,2024-03-21 22:47,2024-03-21,3,22,Aventura,SUV,wedding,38.9,33.75,4,1
T00822,2024-02-23 19:45,2024-02-23,2,19,Coconut Grove,Sedan,wedding,6.1,18.38,5,1
T00823,2024-06-21 04:45,2024-06-21,6,4,Wynwood,Minivan,long_distance,3.3,49.98,4,1
T00824,2024-06-12 10:45,2024-06-12,6,10,Brickell,Sedan,errand,7.2,48.89,5,1
T00825,2024-05-29 18:42,2024-05-29,5,18,Midtown,Sedan,wedding,3.3,35.33,4,1
T00826,2024-05-16 09:56,2024-05-16,5,9,Midtown,Minivan,nightlife,13.0,25.0,5,1
T00827,2024-01-07 12:09,2024-01-07,1,12,South Beach,SUV,wedding,2.0,40.04,4,1
T00828,2024-03-09 05:18,2024-03-09,3,5,Coconut Grove,Sedan,airport,25.1,20.49,4,1
T00829,2024-06-25 09:13,2024-06-25,6,9,Aventura,SUV,nightlife,11.7,50.67,5,1
T00830,2024-04-25 03:39,2024-04-25,4,3,Aventura,SUV,airport,7.9,41.02,4,1
T00831,2024-05-23 12:15,2024-05-23,5,12,Aventura,Sedan,wedding,11.8,42.66,5,1
T00832,2024-06-19 01:59,2024-06-19,6,1,Midtown,SUV,event,29.2,34.91,4,1
T00833,2024-06-24 10:35,2024-06-24,6,10,South Beach,SUV,nightlife,16.2,39.68,5,1
T00834,2024-02-21 19:55,2024-02-21,2,19,Downtown,Sedan,airport,9.1,36.68,4,1
T00835,2024-06-14 11:48,2024-06-14,6,11,Doral,Sedan,long_distance,4.0,38.77,5,1
T00836,2024-02-20 23:12,2024-02-20,2,23,Coconut Grove,Sedan,event,14.8,41.56,5,1
T00837,2024-06-23 02:11,2024-06-23,6,2,Wynwood,Sedan,wedding,23.2,31.94,5,1
T00838,2024-04-06 01:27,2024-04-06,4,1,Coconut Grove,Luxury,long_distance,9.8,54.29,5,1
T00839,2024-02-11 18:54,2024-02-11,2,18,Coconut Grove,Sedan,nightlife,7.5,49.67,5,1
T00840,2024-02-09 01:09,2024-02-09,2,1,Little Havana,SUV,long_distance,9.3,28.06,5,1
T00841,2024-06-09 19:53,2024-06-09,6,19,Coconut Grove,Sedan,event,5.9,39.85,5,1
T00842,2024-05-20 11:04,2024-05-20,5,11,Little Havana,Sedan,long_distance,5.7,58.59,4,1
T00843,2024-02-17 16:04,2024-02-17,2,16,Aventura,Sedan,airport,3.5,28.75,4,1
T00844,2024-05-17 12:05,2024-05-17,5,12,Little Havana,Sedan,airport,6.6,47.32,5,1
T00845,2024-06-18 10:21,2024-06-18,6,10,Little Havana,Minivan,errand,16.9,48.0,4,1
T00846,2024-06-07 16:30,2024-06-07,6,16,Aventura,Luxury,wedding,16.4,41.65,5,1
T00847,2024-06-20 11:28,2024-06-20,6,11,Coral Gables,Sedan,wedding,16.4,57.19,4,1
T00848,2024-06-08 07:02,2024-06-08,6,7,Little Havana,Sedan,event,14.1,33.3,4,1
T00849,2024-01-30 12:16,2024-01-30,1,12,Aventura,Luxury,wedding,8.0,52.7,5,1
T00850,2024-05-12 11:32,2024-05-12,5,11,Aventura,Minivan,event,6.4,25.88,4,1
T00851,2024-03-16 20:12,2024-03-16,3,20,Little Havana,Luxury,long_distance,28.9,45.04,4,1
T00852,2024-01-25 05:49,2024-01-25,1,5,Aventura,Sedan,long_distance,8.1,18.94,4,1
T00853,2024-01-17 06:42,2024-01-17,1,6,Coral Gables,SUV,wedding,4.8,40.11,5,1
T00854,2024-01-27 06:34,2024-01-27,1,6,Midtown,Sedan,wedding,13.0,47.8,4,1
T00855,2024-01-19 23:43,2024-01-19,1,23,Wynwood,Sedan,nightlife,12.7,56.85,4,1
T00856,2024-03-25 01:05,2024-03-25,3,1,Brickell,SUV,nightlife,2.8,33.36,5,1
T00857,2024-03-05 17:04,2024-03-05,3,17,Doral,SUV,airport,5.4,28.01,5,1
T00858,2024-04-14 12:28,2024-04-14,4,12,Midtown,Sedan,event,2.2,16.06,5,1
T00859,2024-04-09 21:07,2024-04-09,4,21,Aventura,Sedan,nightlife,5.2,42.72,5,1
T00860,2024-06-07 02:48,2024-06-07,6,2,Doral,Minivan,nightlife,12.3,42.15,5,1
T00861,2024-01-19 11:59,2024-01-19,1,11,Aventura,SUV,nightlife,6.6,32.54,4,1
T00862,2024-06-24 09:38,2024-06-24,6,9,Brickell,Sedan,errand,5.4,57.27,5,1
T00863,2024-04-22 12:25,2024-04-22,4,12,South Beach,Sedan,event,2.5,47.44,5,1
T00864,2024-02-26 04:47,2024-02-26,2,4,Midtown,SUV,long_distance,7.6,38.13,4,1
T00865,2024-06-11 04:19,2024-06-11,6,4,Little Havana,Luxury,nightlife,7.4,54.76,5,1
T00866,2024-05-22 04:07,2024-05-22,5,4,South Beach,Sedan,nightlife,17.8,40.73,4,1
T00867,2024-04-10 17:35,2024-04-10,4,17,Brickell,Sedan,errand,2.4,49.73,4,1
T00868,2024-03-29 06:26,2024-03-29,3,6,Aventura,Sedan,airport,7.1,47.71,4,1
T00869,2024-02-26 19:53,2024-02-26,2,19,Coconut Grove,SUV,airport,6.8,44.02,5,1
T00870,2024-06-20 18:54,2024-06-20,6,18,South Beach,Sedan,long_distance,14.7,42.03,5,1
T00871,2024-05-20 02:18,2024-05-20,5,2,Brickell,SUV,errand,5.7,62.02,5,1
T00872,2024-05-28 15:21,2024-05-28,5,15,Little Havana,SUV,airport,9.7,29.57,5,1
T00873,2024-03-01 03:18,2024-03-01,3,3,Doral,SUV,nightlife,2.2,36.77,5,1
T00874,2024-03-22 15:28,2024-03-22,3,15,Little Havana,Luxury,long_distance,7.0,36.28,4,1
T00875,2024-06-26 18:09,2024-06-26,6,18,Doral,SUV,long_distance,19.8,46.12,5,1
T00876,2024-03-21 13:10,2024-03-21,3,13,South Beach,Minivan,errand,2.2,47.93,4,1
T00877,2024-02-26 22:47,2024-02-26,2,22,Midtown,Sedan,errand,3.7,49.79,4,1
T00878,2024-02-04 21:46,2024-02-04,2,21,Little Havana,Sedan,event,2.7,33.96,5,1
T00879,2024-04-01 09:31,2024-04-01,4,9,Aventura,SUV,nightlife,4.9,19.29,5,1
T00880,2024-06-04 02:53,2024-06-04,6,2,Coconut Grove,Luxury,airport,4.7,43.47,4,1
T00881,2024-02-20 08:46,2024-02-20,2,8,Brickell,Sedan,wedding,4.9,45.55,4,1
T00882,2024-01-05 16:40,2024-01-05,1,16,South Beach,Sedan,long_distance,2.6,48.81,5,1
T00883,2024-05-31 06:58,2024-05-31,5,6,South Beach,Sedan,long_distance,8.0,51.62,5,1
T00884,2024-05-18 15:41,2024-05-18,5,15,Wynwood,Sedan,errand,17.5,44.5,5,1
T00885,2024-05-30 23:54,2024-05-30,5,23,Coconut Grove,Sedan,airport,5.2,26.88,5,1
T00886,2024-05-10 02:25,2024-05-10,5,2,Little Havana,Sedan,long_distance,14.0,15.04,5,1
T00887,2024-03-02 19:43,2024-03-02,3,19,Wynwood,Luxury,long_distance,8.1,27.05,5,1
T00888,2024-02-10 05:36,2024-02-10,2,5,Doral,Sedan,wedding,14.7,54.69,5,1
T00889,2024-02-07 23:46,2024-02-07,2,23,Downtown,Luxury,errand,5.3,19.3,4,1
T00890,2024-05-04 07:04,2024-05-04,5,7,Coconut Grove,Luxury,errand,22.8,17.58,5,1
T00891,2024-06-20 06:33,2024-06-20,6,6,Little Havana,Minivan,event,2.3,46.75,5,1
T00892,2024-04-26 01:02,2024-04-26,4,1,Little Havana,Luxury,nightlife,17.1,28.23,4,1
T00893,2024-05-13 20:53,2024-05-13,5,20,Coconut Grove,SUV,wedding,3.6,37.96,5,1
T00894,2024-05-19 18:11,2024-05-19,5,18,Midtown,Sedan,wedding,15.6,31.04,5,1
T00895,2024-05-30 20:57,2024-05-30,5,20,Brickell,Sedan,long_distance,4.8,22.77,4,1
T00896,2024-02-27 16:25,2024-02-27,2,16,Little Havana,Sedan,errand,23.2,56.46,4,1
T00897,2024-05-03 19:00,2024-05-03,5,19,Aventura,SUV,airport,24.5,34.58,5,1
T00898,2024-02-28 02:32,2024-02-28,2,2,Coconut Grove,Minivan,airport,6.7,28.42,4,1
T00899,2024-02-10 11:38,2024-02-10,2,11,Brickell,SUV,wedding,4.4,31.63,5,1
T00900,2024-03-25 23:07,2024-03-25,3,23,Downtown,SUV,wedding,58.6,37.8,4,1
T00901,2024-02-23 18:10,2024-02-23,2,18,Midtown,Sedan,nightlife,2.9,28.29,5,1
T00902,2024-02-02 18:37,2024-02-02,2,18,Wynwood,Minivan,airport,31.0,31.97,5,1
T00903,2024-01-11 18:09,2024-01-11,1,18,South Beach,Sedan,airport,2.5,36.33,5,1
T00904,2024-02-16 16:25,2024-02-16,2,16,Doral,Sedan,long_distance,6.0,50.98,5,1
T00905,2024-06-18 09:05,2024-06-18,6,9,Coral Gables,SUV,event,37.8,29.22,4,1
T00906,2024-04-30 15:10,2024-04-30,4,15,Coral Gables,SUV,event,7.1,34.16,5,1
T00907,2024-05-29 05:39,2024-05-29,5,5,Aventura,Minivan,errand,23.8,29.05,5,1
T00908,2024-06-24 10:59,2024-06-24,6,10,Downtown,SUV,long_distance,15.5,44.26,4,1
T00909,2024-02-28 12:24,2024-02-28,2,12,Wynwood,Sedan,nightlife,6.5,20.74,4,1
T00910,2024-05-13 16:43,2024-05-13,5,16,Midtown,SUV,airport,2.0,36.49,4,1
T00911,2024-02-15 15:57,2024-02-15,2,15,Doral,SUV,long_distance,6.0,36.07,5,1
T00912,2024-05-16 16:48,2024-05-16,5,16,Brickell,SUV,nightlife,4.7,49.65,5,1
T00913,2024-02-03 19:34,2024-02-03,2,19,South Beach,Sedan,wedding,1.6,31.38,4,1
T00914,2024-05-13 13:23,2024-05-13,5,13,South Beach,Sedan,wedding,3.6,57.3,4,1
T00915,2024-02-28 15:50,2024-02-28,2,15,Midtown,SUV,errand,31.1,62.24,4,1
T00916,2024-06-27 18:06,2024-06-27,6,18,Midtown,Sedan,airport,10.5,46.47,5,1
T00917,2024-02-29 02:18,2024-02-29,2,2,Doral,Sedan,long_distance,7.2,38.19,4,1
T00918,2024-02-18 00:45,2024-02-18,2,0,South Beach,SUV,long_distance,2.9,27.64,4,1
T00919,2024-05-13 00:24,2024-05-13,5,0,Coral Gables,SUV,wedding,8.8,24.4,5,1
T00920,2024-04-14 11:06,2024-04-14,4,11,Wynwood,Sedan,event,20.7,22.28,4,1
T00921,2024-03-05 08:54,2024-03-05,3,8,Aventura,Minivan,event,26.8,42.36,5,1
T00922,2024-06-05 08:43,2024-06-05,6,8,Midtown,Sedan,airport,5.5,30.25,5,1
T00923,2024-05-22 15:11,2024-05-22,5,15,Little Havana,Convertible,long_distance,7.1,24.95,5,1
T00924,2024-03-05 09:36,2024-03-05,3,9,Little Havana,Sedan,wedding,17.0,31.32,4,1
T00925,2024-02-05 21:07,2024-02-05,2,21,Coral Gables,Sedan,event,13.2,36.6,5,1
T00926,2024-02-11 03:13,2024-02-11,2,3,Aventura,Sedan,event,4.6,30.76,5,1
T00927,2024-05-20 19:44,2024-05-20,5,19,South Beach,Minivan,airport,3.4,39.36,4,1
T00928,2024-06-11 00:51,2024-06-11,6,0,Brickell,SUV,airport,6.4,35.25,4,1
T00929,2024-06-02 13:05,2024-06-02,6,13,Brickell,Minivan,errand,14.6,11.13,4,1
T00930,2024-01-21 19:02,2024-01-21,1,19,Midtown,Sedan,event,1.8,34.94,4,1
T00931,2024-05-13 09:45,2024-05-13,5,9,Doral,Sedan,nightlife,3.6,49.52,5,0
T00932,2024-02-14 20:31,2024-02-14,2,20,Downtown,SUV,nightlife,5.8,44.31,4,1
T00933,2024-06-17 16:18,2024-06-17,6,16,Coral Gables,Sedan,nightlife,5.3,28.55,5,1
T00934,2024-05-10 16:44,2024-05-10,5,16,Coral Gables,SUV,long_distance,23.3,49.2,5,1
T00935,2024-01-10 11:15,2024-01-10,1,11,South Beach,Sedan,airport,5.6,53.68,5,1
T00936,2024-03-11 12:22,2024-03-11,3,12,Midtown,SUV,event,4.6,52.09,4,1
T00937,2024-05-12 00:47,2024-05-12,5,0,Brickell,Sedan,nightlife,25.1,29.67,4,1
T00938,2024-05-23 18:22,2024-05-23,5,18,Little Havana,Luxury,errand,7.0,36.77,5,1
T00939,2024-02-19 14:59,2024-02-19,2,14,Midtown,Minivan,long_distance,10.4,33.01,5,1
T00940,2024-02-14 13:32,2024-02-14,2,13,Brickell,Luxury,long_distance,2.7,32.95,5,1
T00941,2024-03-16 10:07,2024-03-16,3,10,Aventura,Sedan,errand,12.7,36.48,3,1
T00942,2024-05-27 08:44,2024-05-27,5,8,Downtown,Sedan,event,15.2,24.51,5,1
T00943,2024-03-03 10:49,2024-03-03,3,10,Downtown,SUV,wedding,11.2,14.43,5,1
T00944,2024-05-30 00:30,2024-05-30,5,0,Brickell,Sedan,errand,26.1,47.18,4,1
T00945,2024-06-11 07:43,2024-06-11,6,7,Coral Gables,Sedan,errand,16.3,51.61,5,1
T00946,2024-03-31 16:34,2024-03-31,3,16,South Beach,SUV,wedding,3.3,25.5,4,1
T00947,2024-03-04 09:05,2024-03-04,3,9,Midtown,SUV,wedding,7.8,41.74,5,1
T00948,2024-03-28 02:35,2024-03-28,3,2,Wynwood,Luxury,event,13.3,35.12,5,1
T00949,2024-02-25 18:17,2024-02-25,2,18,Wynwood,Luxury,wedding,16.3,40.74,4,1
T00950,2024-02-18 15:47,2024-02-18,2,15,Coral Gables,SUV,airport,2.9,18.9,4,1
T00951,2024-03-08 06:14,2024-03-08,3,6,Coral Gables,Sedan,airport,22.6,30.59,5,1
T00952,2024-04-01 04:49,2024-04-01,4,4,Brickell,Minivan,nightlife,4.9,50.31,4,1
T00953,2024-06-22 21:31,2024-06-22,6,21,Doral,Sedan,nightlife,15.7,41.33,4,1
T00954,2024-05-18 01:54,2024-05-18,5,1,Downtown,Sedan,errand,7.6,54.69,4,1
T00955,2024-05-06 18:55,2024-05-06,5,18,Coconut Grove,Luxury,event,4.1,30.62,5,1
